timestamp,reservoir_volume,water_level
2020-12-13 12:00:00+00:00,9.220051,79.12
2020-12-13 13:00:00+00:00,9.233793,79.12125
2020-12-13 14:00:00+00:00,9.316249,79.12875
2020-12-13 15:00:00+00:00,9.329991,79.13
2020-12-13 16:00:00+00:00,9.343745,79.13125
2020-12-13 17:00:00+00:00,9.426264,79.13876
2020-12-13 18:00:00+00:00,9.440017,79.14
2020-12-13 19:00:00+00:00,9.440017,79.14
2020-12-13 20:00:00+00:00,9.45377,79.14125
2020-12-13 21:00:00+00:00,9.536288,79.14876
2020-12-13 22:00:00+00:00,9.550042,79.15
2020-12-13 23:00:00+00:00,9.563796,79.15125
2020-12-14 00:00:00+00:00,9.63256,79.1575
2020-12-14 01:00:00+00:00,9.577549,79.1525
2020-12-14 02:00:00+00:00,9.646314,79.15876
2020-12-14 03:00:00+00:00,9.67381,79.16125
2020-12-14 04:00:00+00:00,9.756267,79.16875
2020-12-14 05:00:00+00:00,9.770009,79.17
2020-12-14 06:00:00+00:00,9.770009,79.17
2020-12-14 07:00:00+00:00,9.770009,79.17
2020-12-14 08:00:00+00:00,9.770009,79.17
2020-12-14 09:00:00+00:00,9.770009,79.17
2020-12-14 10:00:00+00:00,9.770009,79.17
2020-12-14 11:00:00+00:00,9.770009,79.17
2020-12-14 12:00:00+00:00,9.756267,79.16875
2020-12-14 13:00:00+00:00,9.67381,79.16125
2020-12-14 14:00:00+00:00,9.632562,79.1575
2020-12-14 15:00:00+00:00,9.495029,79.145
2020-12-14 16:00:00+00:00,9.632562,79.1575
2020-12-14 17:00:00+00:00,9.646314,79.15876
2020-12-14 18:00:00+00:00,9.563796,79.15125
2020-12-14 19:00:00+00:00,9.563796,79.15125
2020-12-14 20:00:00+00:00,9.63256,79.1575
2020-12-14 21:00:00+00:00,9.563796,79.15125
2020-12-14 22:00:00+00:00,9.550042,79.15
2020-12-14 23:00:00+00:00,9.550042,79.15
2020-12-15 00:00:00+00:00,9.536288,79.14876
2020-12-15 01:00:00+00:00,9.45377,79.14125
2020-12-15 02:00:00+00:00,9.440017,79.14
2020-12-15 03:00:00+00:00,9.440017,79.14
2020-12-15 04:00:00+00:00,9.440017,79.14
2020-12-15 05:00:00+00:00,9.440017,79.14
2020-12-15 06:00:00+00:00,9.440017,79.14
2020-12-15 07:00:00+00:00,9.440017,79.14
2020-12-15 08:00:00+00:00,9.440017,79.14
2020-12-15 09:00:00+00:00,9.45377,79.14125
2020-12-15 10:00:00+00:00,9.522535,79.14751
2020-12-15 11:00:00+00:00,9.45377,79.14125
2020-12-15 12:00:00+00:00,9.426264,79.13876
2020-12-15 13:00:00+00:00,9.357498,79.13249
2020-12-15 14:00:00+00:00,9.41251,79.1375
2020-12-15 15:00:00+00:00,9.343745,79.13125
2020-12-15 16:00:00+00:00,9.316249,79.12875
2020-12-15 17:00:00+00:00,9.233793,79.12125
2020-12-15 18:00:00+00:00,9.220051,79.12
2020-12-15 19:00:00+00:00,9.206298,79.11875
2020-12-15 20:00:00+00:00,9.123778,79.11124
2020-12-15 21:00:00+00:00,9.110025,79.11
2020-12-15 22:00:00+00:00,9.096272,79.10875
2020-12-15 23:00:00+00:00,9.013753,79.10124
2020-12-16 00:00:00+00:00,9.0,79.1
2020-12-16 01:00:00+00:00,8.984997,79.09875
